AA:AA:AA:88:88:03,AA:AA:AA:11:22:38,AA:AA:AA:11:22:37,AA:AA:AA:11:22:34,AA:AA:AA:11:22:35,AA:AA:AA:11:22:36,AA:AA:AA:88:88:02,AA:AA:AA:88:88:01
563.723765806821,798.6086682263298,742.2362916456476,798.6086682263298,714.0501033553066,563.723765806821,629.4915384842834,591.9099540971621
641.7386189043383,948.2406458437238,881.1933274507332,919.5060808181564,775.8332556903194,469.331228750934,498.0657937765014,574.6913005113478
576.9997663608309,813.4750804431386,851.3111306963078,841.8521181330156,690.5079171203386,728.3439673735079,728.3439673735079,558.0817412342462
557.3836584855222,793.5631747929468,916.3765232728076,897.4821619682137,954.1652458819956,538.4892971809282,717.985729574571,283.4154195689096
552.5276400513304,914.5285076711675,971.6865394006155,962.1602007790408,714.4753966180997,704.949057996525,600.1593331592037,295.31649726881454
521.9274053793745,986.9172756264536,939.4693296828741,901.5109729280105,835.0838486069991,332.1356216050565,835.0838486069991,284.687675661477
502.03805485912636,1013.919993146863,935.1689257179805,915.4811588607598,905.6372754321495,561.1013554307883,738.2912571457741,442.97475428746446
596.9756989149109,795.9675985532145,865.6147634266208,845.7155734627904,805.9171935351297,686.5220537521476,517.3789390595895,477.58055913192874
794.7732557037856,902.7054262314603,814.3972867088174,912.517441733976,608.344961155984,510.22480613082536,745.7131781912062,304.172480577992
639.8010109856532,909.7170624952257,879.7263901052731,839.7388269186698,479.8507582392399,359.8880686794299,779.7574821387649,769.760591342114
577.7169310021816,1013.3723215939906,928.1353973477671,928.1353973477671,710.3077020518626,473.53846803457503,625.0707778056391,577.7169310021816
569.7527718437301,889.6139770893329,839.6356637697074,669.709398482981,629.7267478272806,689.7007238108312,619.7310851633555,829.6400011057824
508.9575391607065,791.7117275833212,876.5379841101056,867.1128444960185,697.4603314424497,650.3346333720139,480.6821203184451,527.8078183888808
599.4057824031753,889.1185772313767,949.0591554716941,1008.9997337120117,649.3562642701065,619.3859751499477,709.2968425104241,619.3859751499477
486.498070014401,887.1435394380253,858.5260059077664,715.438338256472,820.3692945340879,448.3413586407225,648.6640933525347,820.3692945340879
498.9191600370214,710.0003431296074,853.9193316018251,805.9463354444192,863.5139308333063,498.9191600370214,671.6219462036827,642.8381485092391
538.5885294035818,963.7899999853568,897.6475490059696,916.5453921429373,973.2389215538407,557.4863725405495,538.5885294035818,481.8949999926784
605.5985333095548,832.6979833006378,861.0854145495232,880.0103687154468,946.2477082961793,492.04880831401323,605.5985333095548,435.2739458162425
495.4140902138713,1030.4613076448522,1080.0027166662394,951.195053210633,941.2867714063555,653.9465990823102,614.3134718652004,376.5147085625422
530.7848670896393,772.0507157667481,801.0026176080012,868.5570552375917,945.7621268142665,376.37472393628974,521.134233142555,511.4835991954707
607.032588414581,825.1849248760711,891.5791142339159,948.4884193977829,872.6093458459603,626.0023568025367,445.78955711695795,550.123283250714
442.2313794663718,1053.8279680900775,987.9637200844477,912.6902937922993,903.2811155057807,310.5028834551121,461.0497360394089,461.0497360394089
647.7257807139133,762.0303302516628,923.9617754301411,990.6394293271616,876.3348797894122,542.9466103043097,590.5735059450386,533.4212311761639
553.4759855172769,1011.5250769798507,887.470114708737,906.5554935196776,982.8970087634399,696.6163265993312,496.2198490844551,410.3356444352225
615.4461011817488,814.2825338712369,880.5613447677329,890.0297463243751,833.2193369845214,748.0037229747408,520.7620856153259,416.6096684922607
483.1225111729821,867.6485914943353,887.367877664661,857.7889484091723,818.3503760685207,739.4732313872175,631.0171574504257,483.1225111729821
425.335096453847,728.1160125735346,699.27973484785,706.4888042792712,670.4434571221656,237.89929123689745,389.28974929674126,410.9169575910047
785.1237874890963,902.8923556124607,1030.4749710794388,971.5906870177566,991.218781704984,844.0080715507785,529.95855655514,657.5411720221182
613.1357299690565,839.5243071884004,792.3600202677037,830.0914498042611,792.3600202677037,679.1657316580317,405.61286751799116,660.3000168897531
638.8603294803404,810.4944478481931,924.9171934267615,839.1001342428352,877.2410494356914,715.1421598660527,457.69098231427375,629.3251006821264
435.1522129584198,955.442902365226,889.2240873498143,908.1437487827891,964.9027330817134,633.808658004655,387.85305937598287,548.6701815562684
579.7862245091907,909.6645936264888,949.6498504891916,869.6793367637861,889.6719651951374,459.83045392108227,749.7235661756777,679.7493666659477
612.2762880794559,870.5803471129763,755.7785430980783,784.4789941018028,813.1794451055273,401.8063140521429,411.3731310533844,669.6771900869048
488.7184048563555,855.257208498622,874.0540702238666,911.6477936743554,921.0462245369777,582.7027134825777,648.4917295209333,451.1246814058666
650.6550849732158,975.9826274598238,966.4141703278647,937.7087989319875,880.2980561402333,344.46445675052604,746.3396562928065,468.85439946599377
547.1668491254136,676.4971952823296,815.7760296051621,825.7245177710787,865.5184704347452,487.47592012991396,557.1153372913302,656.6002189504964
669.6813142849062,937.5538399988686,841.8850808153106,841.8850808153106,841.8850808153106,478.34379591779015,774.91694938682,564.4456791829923
544.5988371038769,873.2360663906992,854.4567961457379,798.1189854108541,873.2360663906992,525.8195668589157,619.7159180837219,478.8713912465124
651.7841730432947,862.655523145537,881.8256458821045,833.9003390406858,948.9210754600907,575.1036820970247,603.8588662018759,661.3692344115784
570.7226486469508,799.0117081057311,856.0839729704262,856.0839729704262,818.0357963939629,551.6985603587191,608.7708252234142,542.1865162146033
595.2515222818015,825.6714663908859,787.2681423727053,758.4656493590696,816.0706353863408,604.8523532863467,518.44487424544,643.2556773045275
